Estado,Fecha,Predicador,Titulo / Pasaje,Duracion,Carpeta,Notas,Link
ARCHIVADA,2026-05-10,Felipe Burgos,,67 min,2026 / 2026-05 mayo,,https://drive.google.com/file/d/1Xuw80cTNq-_hZH5nnk67hOgrJB3x3Huq/view
ARCHIVADA,2026-04-19,Juan Carlos,,,2026 / 2026-04 abril,,https://drive.google.com/file/d/17NxDrn5dYfu2L9WLZ2lph0PjQmm-7jJl/view
ARCHIVADA,2026-03-29,Felipe Burgos,,,2026 / 2026-03 marzo,,https://drive.google.com/file/d/1UjTkKxAfeAyxCv6AjEocD_hNvBX7IBBP/view
ARCHIVADA,2026-03-22,Mariel Álvarez,,,2026 / 2026-03 marzo,,https://drive.google.com/file/d/1z6_474hPoHGiO_XN60-fcdRSOsGlWL6Z/view
ARCHIVADA,2026-03-15,Felipe Burgos,,,2026 / 2026-03 marzo,,https://drive.google.com/file/d/1kHelfhBmMgsy3n9QCbxtLizcWGxeFY-m/view
ARCHIVADA,2026-01-25,El fruto de la fe que se ve,Predicador por confirmar,,2026 / 2026-01 enero,Falta identificar al predicador,https://drive.google.com/file/d/1te2oFaR3B4B8-zB-b_UqRnih9hCk1dPX/view
ARCHIVADA,2025-12-28,Felipe Burgos,,,2025 / 2025-12 diciembre,,https://drive.google.com/file/d/1F_fYs8vjLAZKMc1dfjQL_nUhcftRqVww/view
ARCHIVADA,2025-10-19,Felipe Burgos,Segunda parte,,2025 / 2025-10 octubre,,https://drive.google.com/file/d/1OYjbakjoi8n2EPo-6zdmijx0BDtLtIuI/view
ARCHIVADA,2025-10-19,Felipe Burgos,Primera parte — estreno de la locación nueva,,2025 / 2025-10 octubre,,https://drive.google.com/file/d/1R9_TTsWQj3nrojTByRnZsiSC261ugZNk/view
ARCHIVADA,2025-10-04,Hugo,Prédica,,2025 / 2025-10 octubre,Cae sabado - confirmar,https://drive.google.com/file/d/1wl1SpsqzNg6hpcWif2E2J4Mjakoi6oBM/view
ARCHIVADA,2025-09-28,Felipe Burgos,,,2025 / 2025-09 septiembre,,https://drive.google.com/file/d/1_fx_go3EeBrK6cN-NxOZLqroCtAuhJye/view
ARCHIVADA,2025-09-21,Cliff,Juan 6:1-40,,2025 / 2025-09 septiembre,,https://drive.google.com/file/d/1KasmolJNWCkiBKCY5CwSruALpSpme3nh/view
ARCHIVADA,2025-07-20,Felipe Burgos,,,2025 / 2025-07 julio,,https://drive.google.com/file/d/1PErA0BaaGHNen1zOcMIck-uIQYnAAr3-/view
ARCHIVADA,2025-07-13,Felipe Burgos,,,2025 / 2025-07 julio,,https://drive.google.com/file/d/1wdMPe-F4cywGjtfsSh0DgkVyPK8dmCK-/view
ARCHIVADA,2025-07-05,Cristián,Prédica,,2025 / 2025-07 julio,Cae sabado - confirmar,https://drive.google.com/file/d/1YtT-ZKF4capWkZXGSQBDj85IRgchkWyY/view
ARCHIVADA,2025-06-29,Felipe Burgos,,,2025 / 2025-06 junio,,https://drive.google.com/file/d/1jzE_PtVolrkzJVDcz5o__eZIX7fZId2f/view
FALTA FECHA,,Felipe Burgos,Felipe Burgos A,34 min,PENDIENTE - falta fecha,Fecha original borrada al exportar de Notas de Voz,https://drive.google.com/file/d/1RpSahsosE2pqDeZYuid4dcOzB8T0rgGm/view
FALTA FECHA,,Felipe Burgos,Felipe Burgos B,42 min,PENDIENTE - falta fecha,Fecha original borrada al exportar de Notas de Voz,https://drive.google.com/file/d/1uTCo35KP2m35OoGAIkT_ldDZba3NpWgu/view
FALTA FECHA,,Felipe Burgos,Felipe Burgos C,43 min,PENDIENTE - falta fecha,Fecha original borrada al exportar de Notas de Voz,https://drive.google.com/file/d/1YWiAazleH9A752FMkhvAeWCRBBhSnxW9/view
FALTA FECHA,,Felipe Burgos,Felipe Burgos D,46 min,PENDIENTE - falta fecha,Fecha original borrada al exportar de Notas de Voz,https://drive.google.com/file/d/1eIoCaFGj53nlx-jCIj4GPQKXRZeLU9XM/view
FALTA FECHA,,Felipe Burgos,Felipe Burgos E,53 min,PENDIENTE - falta fecha,Fecha original borrada al exportar de Notas de Voz,https://drive.google.com/file/d/1KbwmPoqh41ogNWd-7QgWjiVTQfYcZLOH/view
FALTA FECHA,,Felipe Burgos,Felipe Burgos F,50 min,PENDIENTE - falta fecha,Fecha original borrada al exportar de Notas de Voz,https://drive.google.com/file/d/12-nsbSJhHt-HQKBeVV6H0iUWrzAEtqIK/view
FALTA FECHA,,Mariel Alvarez,Mariel A,38 min,PENDIENTE - falta fecha,Fecha original borrada al exportar de Notas de Voz,https://drive.google.com/file/d/1N9nY6n0BrQSoU7NwPxcAlWetWA4hxzYA/view
FALTA FECHA,,Mariel Alvarez,Mariel C,59 min,PENDIENTE - falta fecha,Fecha original borrada al exportar de Notas de Voz,https://drive.google.com/file/d/1bolTPApEjDFC3BejFLhfoClHnsTk2ni5/view
FALTA FECHA,,Alvaro,Alvaro A,50 min,PENDIENTE - falta fecha,Fecha original borrada al exportar de Notas de Voz,https://drive.google.com/file/d/1aPrbitt30TR5tJeCK3nCoB1tE49mF5KC/view
FALTA FECHA,,Cliff,Cliff A,19 min,PENDIENTE - falta fecha,Fecha original borrada al exportar de Notas de Voz,https://drive.google.com/file/d/1UEkyCLpmPizu1aCIPRrj4zf8xZy1AKvw/view
REVISAR,,Cliff,predica_cliff_05_06_2026.mp3,62 min,DUPLICADOS,El nombre dice 05-06-2026 (viernes) pero el audio es identico al del 31-05-2026,https://drive.google.com/file/d/1NBviXNQCRr1wk2aSjT6YANCKVIvqB3u3/view
NOTA,,,,,DUPLICADOS,"Hay 20 copias de audios ya archivados; se pueden borrar despues de revisarlas",https://drive.google.com/drive/folders/1HaYqVDS5R0zw3Ks8TaRedIds-zKSbgbP
